ListenerID,inUS,english,famSLHDs,Q2.4,Q2.4_6_TEXT,age,gender,race,ethnicity
N1,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",45,Woman,White/Caucasian,Not Hispanic/Latino
N2,Yes,"Yes, it is my native language",Yes,"I have a family member or friend with a speech and/or language disorder,Other",Geriatric Research,71,Woman,White/Caucasian,Not Hispanic/Latino
N3,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",47,Man,White/Caucasian,Not Hispanic/Latino
N4,Yes,"Yes, it is my native language",Yes,Other,"",55,Man,White/Caucasian,Not Hispanic/Latino
N5,Yes,"Yes, it is my native language",Yes,"I previously had a speech, language, and/or hearing disorder","",24,Man,White/Caucasian,Not Hispanic/Latino
N6,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",20,Man,Asian American,Not Hispanic/Latino
N7,Yes,"Yes, it is my native language",No,"","",47,Woman,White/Caucasian,Not Hispanic/Latino
N8,Yes,"Yes, it is my native language",Yes,Other,"",20,Woman,Asian American,Not Hispanic/Latino
N9,Yes,"Yes, it is my native language",Yes,"I previously had a speech, language, and/or hearing disorder,I have a family member or friend with a speech and/or language disorder","",37,Man,White/Caucasian,Not Hispanic/Latino
N10,Yes,"Yes, it is my native language",Yes,Other,none,23,Man,Asian American,Not Hispanic/Latino
N11,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",25,Man,White/Caucasian,Not Hispanic/Latino
N12,Yes,"Yes, it is my native language",No,"","",23,Woman,Asian American,Not Hispanic/Latino
N13,Yes,"Yes, it is my native language",No,"","",32,Man,White/Caucasian,Not Hispanic/Latino
N14,Yes,"Yes, it is my native language",No,"","",29,Woman,White/Caucasian,Not Hispanic/Latino
N15,Yes,"Yes, it is my native language",No,"","",25,Genderqueer,Biracial or Multiracial,Not Hispanic/Latino
N16,Yes,"Yes, it is my native language",No,"","",48,Man,White/Caucasian,Not Hispanic/Latino
N17,Yes,"Yes, it is my native language",Yes,Other,none,58,Non-Binary,White/Caucasian,Not Hispanic/Latino
N18,Yes,"Yes, it is my native language",No,"","",33,Man,Black/African American,Not Hispanic/Latino
N19,Yes,"Yes, it is my native language",Yes,I have a family member or friend with a speech and/or language disorder,"",29,Man,White/Caucasian,Not Hispanic/Latino
N20,Yes,"Yes, it is my native language",Yes,Other,"I am a retired adult health RN, BSN ",60,Woman,White/Caucasian,Not Hispanic/Latino
N21,Yes,"Yes, it is my native language",Yes,Other,None,32,Man,White/Caucasian,Not Hispanic/Latino
N22,Yes,"Yes, it is my native language",No,"","",32,Woman,Black/African American,Not Hispanic/Latino
N23,Yes,"Yes, it is my native language",No,"","",25,Man,White/Caucasian,Not Hispanic/Latino
N24,Yes,"Yes, it is my native language",No,"","",21,Man,White/Caucasian,Not Hispanic/Latino
N25,Yes,"Yes, it is my native language",Yes,Other,I have heard of them,48,Woman,White/Caucasian,Not Hispanic/Latino
