slpID,Speaker,slp_VAS,slp_VAS.Rel,slp_EST,slp_EST.Rel
slp10,AF1,96.28,,90,
slp10,AF9,12.32,,10,
slp10,ALSF6,,,10,
slp10,ALSF7,93.98,,100,
slp10,ALSF9,29.51,,35,
slp10,ALSM1,96.28,,80,100
slp10,ALSM4,68.48,,100,100
slp10,AM1,69.34,,90,
slp10,AM3,100,,95,90
slp10,AM5,95.42,,60,75
slp10,HDF1,79.08,73.93,50,
slp10,HDF5,92.55,,100,
slp10,HDM10,31.23,,60,
slp10,HDM11,100,100,95,
slp10,HDM8,,,30,
slp10,PDF5,100,100,85,
slp10,PDF7,100,,50,
slp10,PDM10,100,,90,
slp10,PDM12,85.67,,90,
slp10,PDM9,100,,85,
slp11,AF1,100,,80,
slp11,AF9,34.68,,5,
slp11,ALSF6,30.84,,5,
slp11,ALSF7,96.31,90.26,15,
slp11,ALSF9,52.2,,40,
slp11,ALSM1,,,35,
slp11,ALSM4,100,,75,
slp11,AM1,20.35,,40,
slp11,AM3,68.31,,95,
slp11,AM5,50.86,100,70,50
slp11,HDF1,,,75,
slp11,HDF5,89.46,,75,85
slp11,HDM10,7.73,75.35,15,
slp11,HDM11,100,,95,
slp11,HDM8,20.12,,50,70
slp11,PDF5,94.81,,100,
slp11,PDF7,100,,95,
slp11,PDM10,84.06,,85,
slp11,PDM12,92.58,,80,
slp11,PDM9,96.51,,50,80
slp13,AF1,96.56,,70,75
slp13,AF9,0.86,,10,
slp13,ALSF6,5.73,,15,
slp13,ALSF7,61.32,,70,
slp13,ALSF9,43.55,,10,15
slp13,ALSM1,29.23,,80,
slp13,ALSM4,93.98,89.11,40,
slp13,AM1,14.9,,20,
slp13,AM3,,,60,
slp13,AM5,55.01,,60,75
slp13,HDF1,69.91,,85,
slp13,HDF5,69.05,,70,
slp13,HDM10,1.72,1.72,30,
slp13,HDM11,99.14,,75,
slp13,HDM8,36.68,,20,
slp13,PDF5,89.11,95.7,80,
slp13,PDF7,41.55,,85,
slp13,PDM10,94.56,,50,
slp13,PDM12,43.84,77.08,40,40
slp13,PDM9,75.36,,20,
slp14,AF1,99.3,,85,
slp14,AF9,3.52,,10,
slp14,ALSF6,73.94,84.93,15,
slp14,ALSF7,64.37,91.83,20,75
slp14,ALSF9,46.76,,10,
slp14,ALSM1,69.44,,90,95
slp14,ALSM4,84.51,94.51,75,
slp14,AM1,81.69,,85,85
slp14,AM3,88.87,,75,
slp14,AM5,95.49,,75,
slp14,HDF1,97.89,,85,
slp14,HDF5,98.87,,90,
slp14,HDM10,59.58,63.38,70,
slp14,HDM11,100,,100,100
slp14,HDM8,59.01,,65,
slp14,PDF5,100,,75,
slp14,PDF7,98.17,,100,
slp14,PDM10,94.23,,80,
slp14,PDM12,93.94,,80,
slp14,PDM9,99.01,,90,
slp15,AF1,100,,85,
slp15,AF9,12.58,10.32,5,
slp15,ALSF6,73.87,,10,
slp15,ALSF7,100,,30,
slp15,ALSF9,60.65,,65,
slp15,ALSM1,99.35,,100,
slp15,ALSM4,88.39,98.06,95,
slp15,AM1,86.45,,90,95
slp15,AM3,82.58,,95,
slp15,AM5,95.48,,70,
slp15,HDF1,74.19,,95,98
slp15,HDF5,95.16,,98,100
slp15,HDM10,50.32,66.77,70,
slp15,HDM11,100,,100,
slp15,HDM8,97.1,,30,90
slp15,PDF5,100,,85,
slp15,PDF7,96.77,,96,
slp15,PDM10,97.1,99.68,95,
slp15,PDM12,95.81,,95,
slp15,PDM9,98.06,,99,
slp16,AF1,12.58,,60,85
slp16,AF9,0,,10,
slp16,ALSF6,4.52,9.03,5,
slp16,ALSF7,7.74,,5,
slp16,ALSF9,23.87,,5,
slp16,ALSM1,82.26,,90,
slp16,ALSM4,74.52,,80,70
slp16,AM1,12.26,,20,
slp16,AM3,17.74,,10,
slp16,AM5,82.58,,30,
slp16,HDF1,92.58,91.61,80,
slp16,HDF5,15.16,,15,10
slp16,HDM10,0,0,30,
slp16,HDM11,100,,50,
slp16,HDM8,0,,5,
slp16,PDF5,100,,85,
slp16,PDF7,84.52,70.97,75,
slp16,PDM10,97.74,,90,
slp16,PDM12,96.77,,50,
slp16,PDM9,86.77,,25,60
slp17,AF1,100,100,97,95
slp17,AF9,6.69,,2,
slp17,ALSF6,45.13,,30,
slp17,ALSF7,69.92,,50,
slp17,ALSF9,25.21,,70,
slp17,ALSM1,70.19,,85,76
slp17,ALSM4,91.64,,90,90
slp17,AM1,25.63,45.68,75,
slp17,AM3,57.66,,98,
slp17,AM5,82.03,,70,
slp17,HDF1,39.83,,98,
slp17,HDF5,85.1,,98,
slp17,HDM10,5.71,,50,45
slp17,HDM11,100,,98,
slp17,HDM8,11.14,24.79,60,
slp17,PDF5,97.08,,95,
slp17,PDF7,99.03,,100,
slp17,PDM10,93.87,,95,
slp17,PDM12,59.75,,96,
slp17,PDM9,96.52,99.58,100,
slp18,AF1,88.16,,90,
slp18,AF9,0,8.17,0,0
slp18,ALSF6,41.92,,25,
slp18,ALSF7,88.16,,75,
slp18,ALSF9,91.64,,50,
slp18,ALSM1,79.72,80.08,50,
slp18,ALSM4,76.74,76.74,90,
slp18,AM1,24.23,,75,
slp18,AM3,47.08,,90,
slp18,AM5,82.31,,80,90
slp18,HDF1,79.3,,80,
slp18,HDF5,75.77,69.22,80,
slp18,HDM10,6.27,,80,
slp18,HDM11,97.91,,100,90
slp18,HDM8,74.51,,25,
slp18,PDF5,80.92,,90,
slp18,PDF7,94.57,,80,
slp18,PDM10,100,,100,
slp18,PDM12,99.03,,80,
slp18,PDM9,74.37,,99,90
slp19,AF1,52.58,,90,80
slp19,AF9,7.42,,15,40
slp19,ALSF6,26.13,,45,
slp19,ALSF7,37.42,,10,
slp19,ALSF9,37.1,,75,
slp19,ALSM1,78.39,,90,
slp19,ALSM4,60.97,,85,
slp19,AM1,31.29,,60,
slp19,AM3,60.32,,65,
slp19,AM5,33.23,84.19,55,
slp19,HDF1,93.55,,85,
slp19,HDF5,,,50,
slp19,HDM10,39.35,,45,
slp19,HDM11,84.19,,80,
slp19,HDM8,35.81,,30,45
slp19,PDF5,82.9,82.26,80,
slp19,PDF7,63.87,,95,
slp19,PDM10,89.68,,95,
slp19,PDM12,74.84,72.26,75,85
slp19,PDM9,70.32,,85,
slp2,AF1,93.41,,100,
slp2,AF9,19.2,12.89,45,
slp2,ALSF6,39.83,,50,
slp2,ALSF7,43.27,,45,50
slp2,ALSF9,58.74,,75,
slp2,ALSM1,87.39,,95,
slp2,ALSM4,98.85,,90,95
slp2,AM1,25.21,,65,
slp2,AM3,57.31,,85,
slp2,AM5,32.95,,40,
slp2,HDF1,99.43,,75,
slp2,HDF5,75.64,,95,
slp2,HDM10,3.72,,75,
slp2,HDM11,100,,95,100
slp2,HDM8,25.5,,35,
slp2,PDF5,59.89,100,100,100
slp2,PDF7,74.21,96.28,95,
slp2,PDM10,100,,95,
slp2,PDM12,83.09,,75,
slp2,PDM9,100,100,100,
slp20,AF1,67.42,62.9,75,
slp20,AF9,9.03,,25,
slp20,ALSF6,17.42,,25,25
slp20,ALSF7,59.35,,50,
slp20,ALSF9,19.35,,25,
slp20,ALSM1,36.45,,50,
slp20,ALSM4,54.19,,75,
slp20,AM1,23.55,,50,
slp20,AM3,37.42,29.68,80,
slp20,AM5,38.39,,50,50
slp20,HDF1,53.55,45.48,75,
slp20,HDF5,50.32,,60,
slp20,HDM10,17.74,,25,
slp20,HDM11,92.26,,80,90
slp20,HDM8,39.03,37.1,30,
slp20,PDF5,97.1,,70,
slp20,PDF7,73.55,,80,
slp20,PDM10,77.1,,70,
slp20,PDM12,60,,70,
slp20,PDM9,61.61,,60,75
slp21,AF1,77.42,,75,
slp21,AF9,13.55,,10,
slp21,ALSF6,25.81,,10,
slp21,ALSF7,59.35,,66,
slp21,ALSF9,57.74,34.19,33,33
slp21,ALSM1,83.87,,90,
slp21,ALSM4,76.13,,85,
slp21,AM1,40.97,,25,
slp21,AM3,37.74,,50,50
slp21,AM5,48.71,,33,
slp21,HDF1,90.97,,75,
slp21,HDF5,,,75,
slp21,HDM10,22.58,27.42,50,
slp21,HDM11,93.23,,75,
slp21,HDM8,37.1,,10,
slp21,PDF5,82.58,84.52,85,
slp21,PDF7,71.61,,85,
slp21,PDM10,78.06,,75,75
slp21,PDM12,51.29,,66,66
slp21,PDM9,80,,50,
slp22,AF1,73.64,,75,
slp22,AF9,0,,25,
slp22,ALSF6,8.31,,20,45
slp22,ALSF7,34.1,,60,60
slp22,ALSF9,29.51,,50,
slp22,ALSM1,84.24,,90,75
slp22,ALSM4,34.67,67.62,20,
slp22,AM1,58.74,,40,
slp22,AM3,49,,40,
slp22,AM5,66.48,,75,
slp22,HDF1,65.04,,50,70
slp22,HDF5,49.86,,70,
slp22,HDM10,2.58,,60,
slp22,HDM11,84.53,,95,
slp22,HDM8,18.62,,10,
slp22,PDF5,67.62,,80,
slp22,PDF7,60.74,,80,
slp22,PDM10,74.5,91.4,90,
slp22,PDM12,72.21,,65,
slp22,PDM9,57.88,89.97,80,
slp23,AF1,100,,98,
slp23,AF9,0,,15,20
slp23,ALSF6,18.46,,75,
slp23,ALSF7,90.63,95.87,90,
slp23,ALSF9,50.14,39.67,75,35
slp23,ALSM1,92.29,,98,
slp23,ALSM4,97.8,96.69,98,
slp23,AM1,56.75,,90,
slp23,AM3,69.42,,85,
slp23,AM5,94.77,,90,90
slp23,HDF1,96.97,,85,
slp23,HDF5,98.35,,95,
slp23,HDM10,6.34,,75,
slp23,HDM11,96.97,,100,
slp23,HDM8,61.71,,10,
slp23,PDF5,100,,98,
slp23,PDF7,73.55,,100,
slp23,PDM10,82.92,96.97,100,90
